"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI. Интернет-магазин Читай-город","0","UI.Главная страница","4","0","Негативные тесты","0"
"0","API. Интернет-магазин Читай-город","0","API.Главная страница","4","0","Поиск книг. Негативные тесты.","0"
"0","UI. Интернет-магазин Читай-город","0","UI.Главная страница","2","0","Позитивные тесты","0"
"0","API. Интернет-магазин Читай-город","0","API.Главная страница","3","0","Поиск книг. Позитивные тесты.","0"
"0","API. Интернет-магазин Читай-город","0","API. Корзина","1","0","Удаление книг из корзины","0"
"0","API. Интернет-магазин Читай-город","0","API.Главная страница","1","0","Добавление книг в корзину","0"
